dataset=caltech256  classes=256  images=29780  master_seed=1234  ratios={'train': 0.7, 'val': 0.1, 'test': 0.2}
totals: test=5952  val=2971  train_pool=20857
077.french-horn                 92     65    9    18
078.fried-egg                   90     63    9    18
079.frisbee                     99     69   10    20
080.frog                       116     81   12    23
081.frying-pan                  95     66   10    19
082.galaxy                      81     57    8    16
083.gas-pump                    95     66   10    19
084.giraffe                     84     59    8    17
085.goat                       112     79   11    22
086.golden-gate-bridge          80     56    8    16
087.goldfish                    93     65    9    19
088.golf-ball                   98     68   10    20
089.goose                      110     77   11    22
090.gorilla                    212    149   21    42
091.grand-piano-101             95     66   10    19
092.grapes                     201    141   20    40
093.grasshopper                112     79   11    22
094.guitar-pick                104     73   10    21
095.hamburger                   86     60    9    17
096.hammock                    285    200   28    57
097.harmonica                   89     62    9    18
098.harp                       100     70   10    20
099.harpsichord                 80     56    8    16
100.hawksbill-101               93     65    9    19
101.head-phones                138     96   14    28
102.helicopter-101              88     61    9    18
103.hibiscus                   111     78   11    22
104.homer-simpson               97     68   10    19
105.horse                      270    189   27    54
106.horseshoe-crab              87     61    9    17
107.hot-air-balloon             89     62    9    18
108.hot-dog                     85     60    8    17
109.hot-tub                    156    109   16    31
110.hourglass                   85     60    8    17
111.house-fly                   84     59    8    17
112.human-skeleton              84     59    8    17
113.hummingbird                116     81   12    23
114.ibis-101                   120     84   12    24
115.ice-cream-cone              88     61    9    18
116.iguana                     107     75   11    21
117.ipod                       121     85   12    24
118.iris                       108     75   11    22
119.jesus-christ                87     61    9    17
120.joy-stick                  130     91   13    26
121.kangaroo-101                82     58    8    16
122.kayak                      103     72   10    21
123.ketch-101                  111     78   11    22
124.killer-whale                91     64    9    18
125.knife                      101     71   10    20
126.ladder                     242    170   24    48
127.laptop-101                 128     89   13    26
128.lathe                      105     74   10    21
129.leopards-101               190    133   19    38
130.license-plate               91     64    9    18
131.lightbulb                   92     65    9    18
132.light-house                190    133   19    38
133.lightning                  136     95   14    27
134.llama-101                  119     83   12    24
135.mailbox                     93     65    9    19
136.mandolin                    93     65    9    19
137.mars                       156    109   16    31
138.mattress                   192    135   19    38
139.megaphone                   86     60    9    17
140.menorah-101                 89     62    9    18
141.microscope                 117     82   12    23
142.microwave                  107     75   11    21
143.minaret                    130     91   13    26
144.minotaur                    82     58    8    16
145.motorbikes-101             798    558   80   160
146.mountain-bike               82     58    8    16
147.mushroom                   202    142   20    40
148.mussels                    174    122   17    35
149.necktie                    103     72   10    21
150.octopus                    111     78   11    22
151.ostrich                    109     76   11    22
152.owl                        120     84   12    24
153.palm-pilot                  93     65    9    19
154.palm-tree                  103     72   10    21
155.paperclip                   92     65    9    18
156.paper-shredder              96     67   10    19
157.pci-card                   105     74   10    21
158.penguin                    149    104   15    30
159.people                     209    146   21    42
160.pez-dispenser               83     58    8    17
161.photocopier                103     72   10    21
162.picnic-table                91     64    9    18
163.playing-card                90     63    9    18
164.porcupine                  101     71   10    20
165.pram                        88     61    9    18
166.praying-mantis              92     65    9    18
167.pyramid                     86     60    9    17
168.raccoon                    140     98   14    28
169.radio-telescope             92     65    9    18
170.rainbow                    102     72   10    20
171.refrigerator                84     59    8    17
172.revolver-101                99     69   10    20
173.rifle                      106     74   11    21
174.rotary-phone                84     59    8    17
175.roulette-wheel              83     58    8    17
176.saddle                     110     77   11    22
177.saturn                      96     67   10    19
178.school-bus                  98     68   10    20
179.scorpion-101                80     56    8    16
180.screwdriver                102     72   10    20
181.segway                     100     70   10    20
182.self-propelled-lawn-mower   120     84   12    24
183.sextant                    100     70   10    20
184.sheet-music                 84     59    8    17
185.skateboard                 103     72   10    21
186.skunk                       81     57    8    16
187.skyscraper                  95     66   10    19
188.smokestack                  88     61    9    18
189.snail                      119     83   12    24
190.snake                      112     79   11    22
191.sneaker                    111     78   11    22
192.snowmobile                 112     79   11    22
193.soccer-ball                174    122   17    35
194.socks                      112     79   11    22
195.soda-can                    87     61    9    17
196.spaghetti                  104     73   10    21
197.speed-boat                 100     70   10    20
198.spider                     108     75   11    22
199.spoon                      105     74   10    21
200.stained-glass              100     70   10    20
201.starfish-101                81     57    8    16
202.steering-wheel              97     68   10    19
203.stirrups                    91     64    9    18
204.sunflower-101               80     56    8    16
205.superman                    87     61    9    17
206.sushi                       98     68   10    20
207.swan                       115     80   12    23
208.swiss-army-knife           109     76   11    22
209.sword                      102     72   10    20
210.syringe                    111     78   11    22
211.tambourine                  95     66   10    19
212.teapot                     136     95   14    27
213.teddy-bear                 101     71   10    20
214.teepee                     139     97   14    28
215.telephone-box               84     59    8    17
216.tennis-ball                 98     68   10    20
217.tennis-court               105     74   10    21
218.tennis-racket               81     57    8    16
219.theodolite                  84     59    8    17
220.toaster                     94     66    9    19
221.tomato                     103     72   10    21
222.tombstone                   91     64    9    18
223.top-hat                     80     56    8    16
224.touring-bike               110     77   11    22
225.tower-pisa                  90     63    9    18
226.traffic-light               99     69   10    20
227.treadmill                  147    103   15    29
228.triceratops                 95     66   10    19
229.tricycle                    95     66   10    19
230.trilobite-101               94     66    9    19
231.tripod                     112     79   11    22
232.t-shirt                    358    250   36    72
233.tuning-fork                100     70   10    20
234.tweezer                    122     86   12    24
235.umbrella-101               114     80   11    23
236.unicorn                     97     68   10    19
237.vcr                         90     63    9    18
238.video-projector             97     68   10    19
239.washing-machine             84     59    8    17
240.watch-101                  201    141   20    40
241.waterfall                   95     66   10    19
242.watermelon                  93     65    9    19
243.welding-mask                90     63    9    18
244.wheelbarrow                 91     64    9    18
245.windmill                    91     64    9    18
246.wine-bottle                101     71   10    20
247.xylophone                   92     65    9    18
248.yarmulke                    84     59    8    17
249.yo-yo                      100     70   10    20
250.zebra                       96     67   10    19
251.airplanes-101              800    560   80   160
252.car-side-101               116     81   12    23
253.faces-easy-101             435    304   44    87
254.greyhound                   95     66   10    19
255.tennis-shoes               103     72   10    21
256.toad                       108     75   11    22
